productid,productname,categoryname,farmname,farmprovince
6116fdf3-473f-4324-af54-1b950076ef52,Xoài Cát,Trái cây,Trang trại trái cây,Quảng Nam
e24af3cd-fc9f-400c-8c76-8aba05a803b5,Cải Bẹ Xanh,Rau lá,Rau Hữu Cơ,Lâm Đồng
b7237f07-c2bf-48d7-a630-3faaac02cfcc,Gạo ST25,Lương thực,Gạo sạch ,Đồng Tháp
95827b65-ec7b-405b-bd26-6558d04211cf,Gạo nếp,Lương thực,Gạo sạch ,Đồng Tháp
aaa373ef-1cfe-4e6a-9c87-eeba7eaec713,Mãng Cầu Xiêm,Trái cây,Ngũ sắc,Dak Lak
b11d5edc-9b25-4eab-8f56-aae3476a7082,Rau cải ngồng ,Rau lá,Happiness Farm,Lâm Đồng
ff2a70c5-3606-4e4a-af5a-cac6a860cab6,Cải Bẹ Xanh,Rau lá,Hòa Bình,Lâm Đồng
ffcb432e-fc34-4881-adad-42e90f2d9fec,Chuối Tiêu,Trái cây,Trang trại trái cây,Quảng Nam
082496bb-56c6-4ecc-84af-3c46bebec65f,Bắp Cải Tím,Rau lá,PuppyFarm,Lâm Đồng
ae4b4eee-886c-47fd-8bb2-6126dcb5f0ae,Rau ngót,Rau lá,Trang Trại Quỳnh Ngọc,Dak Lak
8c928aca-de9e-4d19-8915-fe4fb1c63ca7,Ổi Hồng,Trái cây,Trang trại trái cây,Quảng Nam
f1aa0ac5-e531-4a37-9da8-c71367b8f203,Bí Xanh,Rau quả,Trang Trại Xanh,Dak Lak
8c80487d-9cb4-49df-ab63-9cde11eaf0a8,Xoài Keo,Trái cây,Ngũ sắc,Dak Lak
e78f8e7b-706a-4b3e-a137-16af136e81bf,Bí Xanh,Rau quả,Rau Hữu Cơ,Lâm Đồng
7322fc17-a36f-4391-8eb5-0a263c060d85,Rau dền tím,Rau lá,Trang Trại Xanh,Dak Lak
87a8b5fb-6e0a-4062-9319-dc9f23faf5a5,Bí Xanh,Rau quả,Hòa Bình,Lâm Đồng
9707b860-f329-419d-acb2-9113a142b7f2,Cà chua,Rau quả,Green Farm,Dak Lak
fc3ec894-3b3e-480c-97e6-6f7e92029051,Cam Sành,Trái cây,Trang Trại Xanh,Dak Lak
b1955c4b-f011-4fd3-b92e-a38a92955a50,Gạo thơm thái,Lương thực,Gạo sạch ,Đồng Tháp
997fa52b-548d-437e-a183-9ba64cff62ac,Cải Thảo,Rau lá,Hòa Bình,Lâm Đồng
373419b8-b75b-4421-b6e5-6baf13a60918,Bắp Mỹ,Lương thực,Mây Mây,Đắk Lăk
3854e48e-b69c-4ab6-ae4b-99f28650b4e1,Nho Mỹ,Trái cây,Ngũ sắc,Dak Lak
cbf585bb-6a0e-4eb7-9c3b-e0b373028fcc,Cải ngọt,Rau lá,PuppyFarm,Lâm Đồng
878be5be-7ef7-4912-b0a5-fd18f6cd4201,Bí đỏ,Rau quả,Rau Hữu Cơ,Lâm Đồng
3c59ef98-feae-442d-85f1-39285e665a17,Nho Mỹ,Trái cây,Green Farm,Dak Lak
20955018-a13b-4e52-afd0-ede45b7a417f,Bắp nếp,Lương thực,Mây Mây,Đắk Lăk
793e3062-fda8-4ebe-bec3-82c0e6e479f9,Bạc hà,Rau gia vị,Trang Trại Xanh,Dak Lak
71694d49-0fd5-47f8-ba53-3ba5beb8ebce,Đậu xanh,Lương thực,Mây Mây,Đắk Lăk
de77e80f-9035-4149-b2c0-be762d2012bf,Hành lá,Rau gia vị,Trang Trại Xanh,Dak Lak
f126a3d5-9bf6-4cc2-80d6-f967979332c1,Ớt Chuông,Rau gia vị,PuppyFarm,Lâm Đồng
9efb3a6b-7c00-44e8-ae77-af67b604f973,Ớt xiêm,Rau gia vị,Green Farm,Dak Lak
2fc69a3e-4eaa-4f83-816e-86e208e1080f,Bí đỏ,Rau quả,Trang Trại Xanh,Dak Lak
4fdbc9d0-775d-47f7-a49b-14472af06506,Bí đỏ,Rau quả,Hòa Bình,Lâm Đồng
f0bb7ae4-e6ef-4d01-95ae-4227920d52b3,Dưa Chuột,Rau quả,Trang Trại Xanh,Dak Lak
abecbec8-7832-40e8-95e3-3bbafd24b73f,Nho Mỹ,Trái cây,Hòa Bình,Lâm Đồng
c69cd8ff-0939-4b5e-8861-867ac4ed7298,Xoài Keo,Trái cây,Happiness Farm,Lâm Đồng
9bef9087-6d9c-4bd7-8248-b96202905dcd,Rau tần ô,Rau lá,Trang Trại Xanh,Dak Lak
ebb9d192-e38a-4051-a092-e774cdc399f1,Đậu cô ve,Rau quả,Cầu Đất Farm,Lâm Đồng
6a8c4009-0e0f-4323-bc3e-7b60ccca13cb,Gừng,Củ,Cầu Đất Farm,Lâm Đồng
7abda2b1-1aa6-4e94-954f-574a7a9b5c7b,Rau cải ngồng ,Rau lá,Hòa Bình,Lâm Đồng
c35ac233-cca3-4666-86b8-afaa54d074ba,Rau húng quế,Rau gia vị,Happiness Farm,Lâm Đồng
8f8b3419-d960-40d0-b8a2-e93a3aa6e029,Hành củ,Củ,Cầu Đất Farm,Lâm Đồng
0552d60c-8b38-4dd5-95be-c152645c4d5a,Giá đỗ,Rau gia vị,Greenbot,TP.HCM
e507ce8a-6599-4816-98c9-54b2bcbe50cf,Chanh không hạt,Trái cây,Cầu Đất Farm,Lâm Đồng
55937f90-5b80-48f0-aa99-29562a04e141,Dâu tây,Trái cây,Cầu Đất Farm,Lâm Đồng
7fcba7ba-7f74-4287-bfab-efab930514fa,Riềng,Củ,Cầu Đất Farm,Lâm Đồng
9c679bd2-a436-4dc5-8419-e7869190adf7,Củ đậu,Củ,Cầu Đất Farm,Lâm Đồng
10ba22c6-04ff-459a-b8a4-b0d2e0438956,Sả cây,Rau gia vị,Oganic Farm,TP HCM
0704609b-65b9-4ca9-857d-b9f5ed9ef750,Ớt xiêm xanh,Rau gia vị,Oganic Farm,TP HCM
d70d9dbd-eb54-4888-875f-4da384a5a0a5,Khoai mỡ,Củ,Oganic Farm,TP HCM
bb049c61-90d8-409c-ab84-baa8444a4fe0,Nấm hương,Nấm,Thế giới nấm,HCM
ac9cf104-d861-4f46-83ff-b218f1ee1f89,Su su,Rau quả,Oganic Farm,TP HCM
aee7e386-fe84-4b16-8b65-4d844e686ce5,Nấm đùi gà,Nấm,Thế giới nấm,HCM
201ba376-2945-4e67-a5da-bc72e08ce70d,Bắp tím,Lương thực,Cầu Đất Farm,Lâm Đồng
124b6214-1b3a-4649-9f0d-b9c690a70e66,Nấm mèo đen,Nấm,Thế giới nấm,HCM
a85e7c1e-115f-4f55-a4e5-dd6ce73fd290,Rau lang,Rau lá,Greenbot,TP.HCM
db3696a1-0136-4c07-a4cb-a206e724cfe6,Xà lách xoong,Rau lá,Greenbot,TP.HCM
2d02e101-5ee9-41ec-b347-a971001b5977,Chanh đào,Trái cây,Cầu Đất Farm,Lâm Đồng
b9e205bb-0b77-427d-a59d-008eaee578ca,Rau diếp cá,Rau gia vị,Greenbot,TP.HCM
485a8f26-f2fe-4e74-9c0f-7f16bf65a9e8,Bắp cải,Rau lá,Greenbot,TP.HCM
0adf1bbd-9d32-43a9-a6af-e1ba5ddbdf4e,Cải ngọt,Rau lá,Trang Trại Xanh,Dak Lak
b86b17df-2a9c-4b26-9238-5f5e966ddae4,Cà tím,Rau quả,Cầu Đất Farm,Lâm Đồng
177968e0-43e0-4917-95b2-64f6e26d2e25,Nấm đông cô,Nấm,Thế giới nấm,HCM
4f375901-b00e-49e5-9c77-eb0a598dd6ba,Rau húng quế,Rau gia vị,Trang Trại Quỳnh Ngọc,Dak Lak
301d330c-7c93-4d98-afe6-f495b8f38552,Rau húng quế,Rau gia vị,Trang Trại Xanh,Dak Lak
92527e2a-ed91-4d1e-bede-46028b75a1a3,Cam sành,Trái cây,Hòa Bình,Lâm Đồng
063c670e-811e-4b5a-93ff-89c1af30ef33,Bí Xanh,Rau quả,Xuyên Mộc,BRVT
7148f50f-8161-499d-8447-25a280ca2bbd,Cà rốt đỏ,Củ,Xuyên Mộc,BRVT
edeb67be-7462-4217-933a-328ca1ce611a,Cải Bẹ Xanh,Rau lá,Trang Trại Xanh,Dak Lak
9713b024-ec7a-4d46-a57a-29842c4df02e,Khoai tây,Củ,Trang Trại Xanh,Dak Lak
bfa825ec-c0dc-4cb7-8e71-e56351a93406,Rau mồng tơi,Rau lá,Trang Trại Xanh,Dak Lak
b22da9ef-9a0f-4936-9440-aa4fb45dfb48,Cỏ ngọt,Dược liệu,Thuốc Bắc,Quảng Nam
c5598931-19f2-4588-8f61-094d038c7269,Rau mồng tơi,Rau lá,Hòa Bình,Lâm Đồng
75e094a1-bd7c-4dd9-a8c9-e4e28ac625bb,Rau mồng tơi,Rau lá,Trang Trại Quỳnh Ngọc,Dak Lak
8e991b5f-b25e-44d3-a883-78f4f0384a05,Dưa hấu đỏ,Trái cây,Rau củ quả,Dak Lak
b8fe1fc1-e6c0-4c7f-beb9-801851d68a5b,Đinh lăng,Dược liệu,Thuốc Bắc,Quảng Nam
f5943e14-3c6e-46fb-a01d-fab1712c0421,Dưa lưới,Trái cây,Rau củ quả,Dak Lak
c47a943f-1ffc-4246-a43a-3c23ec599115,Chanh dây,Trái cây,Rau củ quả,Dak Lak
